original_title,director,genres,vote_count,vote_average,release_year,budget_adj,revenue_adj
The Hunger Games: Mockingjay - Part 2,Francis Lawrence,War|Adventure|Science Fiction,2380,6.5,2015,147199935.232028,598481289.508232
Tomorrowland,Brad Bird,Action|Family|Science Fiction|Adventure|Mystery,1899,6.2,2015,174799923.08803302,192312729.942398
Southpaw,Antoine Fuqua,Action|Drama,1386,7.3,2015,27599987.856005296,84373003.7158783
San Andreas,Brad Peyton,Action|Drama|Thriller,2060,6.1,2015,101199955.472019,432851374.985395
Fifty Shades of Grey,Sam Taylor-Johnson,Drama|Romance,1865,5.3,2015,36799983.80800711,524079119.045187
The Big Short,Adam McKay,Comedy|Drama,1545,7.3,2015,25759988.665604897,122678731.541358
Mission: Impossible - Rogue Nation,Christopher McQuarrie,Action,2349,7.1,2015,137999939.280026,627743451.672881
Ted 2,Seth MacFarlane,Comedy,1666,6.3,2015,62559972.4736121,198594430.13845
Kingsman: The Secret Service,Matthew Vaughn,Crime|Comedy|Action|Adventure,3833,7.6,2015,74519967.21121441,371497801.660967
Spotlight,Tom McCarthy,Drama|Thriller|History,1559,7.8,2015,18399991.9040035,81278719.39736341
Maze Runner: The Scorch Trials,Wes Ball,Action|Science Fiction|Thriller,1849,6.4,2015,56119975.30721079,286356245.923251
Mr. Holmes,Bill Condon,Mystery|Drama,425,6.4,2015,0.0,27006774.877019
Chappie,Neill Blomkamp,Crime|Action|Science Fiction,1990,6.6,2015,45079980.16480871,93903685.2423785
Pitch Perfect 2,Elizabeth Banks,Comedy|Music,1264,6.8,2015,26679988.260805104,264505582.09754303
Bridge of Spies,Steven Spielberg,Thriller|Drama,1638,7.1,2015,36799983.80800711,149601569.335309
Goosebumps,Rob Letterman,Adventure|Horror|Comedy,600,6.2,2015,53359976.5216103,138157089.01088
Room,Lenny Abrahamson,Drama|Thriller,1520,8.0,2015,5519997.57120106,32569603.029374603
Solace,Afonso Poyart,Crime|Drama|Mystery,474,6.2,2015,0.0,20566197.1908732
The Good Dinosaur,Peter Sohn,Adventure|Animation|Comedy|Family|Fantasy,1087,6.6,2015,160999929.16003102,305371920.876354
Run All Night,Jaume Collet-Serra,Action|Crime|Drama|Mystery|Thriller,814,6.3,2015,45999979.7600089,65836683.5118592
Brooklyn,John Crowley,Drama|Romance,754,7.3,2015,10119995.5472019,57110024.5915891
Straight Outta Compton,F. Gary Gray,Drama|Music,918,7.7,2015,25759988.665604897,185504110.098191
The Last Witch Hunter,Breck Eisner,Fantasy|Action|Adventure,879,5.6,2015,82799963.56801601,129164861.167461
Steve Jobs,Danny Boyle,History|Drama,1035,6.9,2015,27599987.856005296,31686509.2179359
The Man from U.N.C.L.E.,Guy Ritchie,Comedy|Action|Adventure,1548,7.0,2015,68999969.64001329,99493456.50287908
The Age of Adaline,Lee Toland Krieger,Fantasy|Drama|Romance,1221,7.3,2015,22999989.8800044,39219376.6634742
Hardcore Henry,Ilya Naishuller,Action|Adventure|Science Fiction,396,5.9,2015,9199995.95200178,13187080.9976843
Home,Tim Johnson,Fantasy|Comedy|Animation|Science Fiction|Family,1060,6.9,2015,124199945.352024,339361177.121082
Paper Towns,Jake Schreier,Drama|Mystery|Romance,1252,6.2,2015,11039995.1424021,78671281.38463621
Wild Card,Simon West,Thriller|Crime|Drama,481,5.3,2015,27599987.856005296,0.0
The Lobster,Yorgos Lanthimos,Thriller|Comedy|Drama|Romance|Science Fiction,638,6.6,2015,3679998.38080071,8339346.45068756
Carol,Todd Haynes,Romance|Drama,562,7.1,2015,10855995.2233621,37050347.8978469
The Intern,Nancy Meyers,Comedy,1255,7.1,2015,32199985.8320062,178999419.480255
Everest,Baltasar KormÃ¡kur,Adventure|Drama,1172,6.7,2015,50599977.7360098,187153294.93255
Joy,David O. Russell,Comedy|Drama,1001,6.4,2015,55199975.71201059,93043293.3409509
Point Break,Ericson Core,Action|Crime|Thriller,505,5.5,2015,96599957.49601872,123021159.990689
Burnt,John Wells,Drama,631,6.3,2015,18399991.9040035,33678188.7415969
Self/less,Tarsem Singh,Science Fiction|Mystery|Thriller,719,6.2,2015,23919989.4752046,28081355.564203493
Mortdecai,David Koepp,Comedy|Adventure,696,5.3,2015,55199975.71201059,27985062.8865723
The Danish Girl,Tom Hooper,Drama,867,7.3,2015,13799993.9280026,59056175.1752829
Blackhat,Michael Mann,Mystery|Crime|Action|Thriller|Drama,584,5.0,2015,64399971.6640124,16332697.613613
Sicario,Denis Villeneuve,Action|Crime|Drama|Mystery|Thriller,1479,7.1,2015,27599987.856005296,77303716.7063646
Fantastic Four,Josh Trank,Action|Adventure|Science Fiction,1565,4.4,2015,110399952.34402,154539320.322699
The Witch,Robert Eggers,Mystery|Horror,700,5.8,2015,3219998.58320062,37190013.0363942
Spy,Paul Feig,Action|Comedy|Crime,1840,6.9,2015,59799973.6880115,216812826.082356
Focus,Glenn Ficarra|John Requa,Romance|Comedy|Crime|Drama,1831,6.7,2015,46091979.7195289,141645863.63582
Hitman: Agent 47,Aleksander Bach,Action|Crime|Thriller,820,5.5,2015,32199985.8320062,75759810.18568349
In the Heart of the Sea,Ron Howard,Thriller|Drama|Adventure|Action|History,805,6.4,2015,91999959.5200178,86315059.3813738
Survivor,James McTeigue,Crime|Thriller|Action,280,5.4,2015,18399991.9040035,0.0
Creed,Ryan Coogler,Drama,1171,7.3,2015,32199985.8320062,126900665.803707
Trainwreck,Judd Apatow,Comedy,849,6.1,2015,32199985.8320062,129532072.565888
Eye in the Sky,Gavin Hood,Drama|Thriller|War,265,7.2,2015,11959994.7376023,30220316.9030605
Legend,Brian Helgeland,Crime|Thriller,619,6.7,2015,22999989.8800044,39535137.0845396
Beyond the Reach,Jean-Baptiste LÃ©onetti,Thriller,81,5.5,2015,0.0,42223.381421712096
Pan,Joe Wright,Adventure|Family|Fantasy,586,5.9,2015,137999939.280026,118117202.42843
Mythica: The Darkspore,Anne K. Black,Action|Adventure|Fantasy,27,5.1,2015,0.0,0.0
Me and Earl and the Dying Girl,Alfonso Gomez-Rejon,Comedy|Drama,569,7.7,2015,0.0,0.0
The Peanuts Movie,Steve Martino,Adventure|Animation|Comedy|Family,414,6.4,2015,91079959.9248176,226534364.284879
Concussion,Peter Landesman,Drama,500,6.9,2015,32199985.8320062,44733666.5571867
The Night Before,Jonathan Levine,Comedy,363,6.1,2015,22999989.8800044,48204295.1101101
Knock Knock,Eli Roth,Drama|Horror|Thriller,473,4.8,2015,2299998.98800044,4796917.44935632
The Longest Ride,"George Tillman, Jr.",Romance|Drama,711,7.3,2015,31279986.236806,57972193.012235
Hotel Transylvania 2,Genndy Tartakovsky,Animation|Comedy|Family,919,6.8,2015,73599967.61601421,428888671.768984
Love the Coopers,Jessie Nelson,Family|Comedy,111,5.3,2015,15639993.118403,22079990.2848042
The Walk,Robert Zemeckis,Adventure|Drama|Thriller,706,6.8,2015,32199985.8320062,56287361.8735607
Tracers,Daniel Benmayor,Action|Crime|Drama,326,5.9,2015,10119995.5472019,1714249.04573042
Vacation,John Francis Daley|Jonathan M. Goldstein,Adventure|Comedy,846,6.1,2015,28519987.4512055,96033410.7052992
Poltergeist,Gil Kenan,Horror|Thriller,589,5.0,2015,32199985.8320062,87802915.846717
Maggie,Henry Hobson,Horror,384,5.1,2015,3679998.38080071,172142.964257095
Equals,Drake Doremus,Drama|Romance|Science Fiction,135,5.6,2015,0.0,1839999.19040035
Child 44,Daniel Espinosa,Crime|Thriller,341,5.9,2015,45999979.7600089,3058382.2543117995
The Gift,Joel Edgerton,Thriller|Mystery,631,6.6,2015,4599997.97600089,54260336.8854517
Daddy's Home,Sean Anders,Comedy,568,5.7,2015,45999979.7600089,221131463.342156
Mythica: The Necromancer,A. Todd Smith,Fantasy|Action|Adventure,11,5.4,2015,0.0,0.0
Vice,Brian A Miller,Thriller|Science Fiction|Action|Adventure,181,4.1,2015,9199995.95200178,0.0
The Little Prince,Mark Osborne,Adventure|Animation|Fantasy,423,7.5,2015,58879974.0928114,89765510.50317529
Alvin and the Chipmunks: The Road Chip,Walt Becker,Adventure|Animation|Comedy|Family,278,5.7,2015,0.0,215055014.135793
The Dressmaker,Jocelyn Moorhouse,Drama,197,6.9,2015,10975595.1707381,16872792.5759712
The DUFF,Ari Sandel,Romance|Comedy,753,6.8,2015,7819996.55920151,40046325.65961671
Sinister 2,Ciaran Foy,Horror,331,5.5,2015,9199995.95200178,48651435.1533685
Paul Blart: Mall Cop 2,Andy Fickman,Action|Adventure|Comedy|Family,422,5.3,2015,27599987.856005296,98989419.0846556
Frozen Fever,Chris Buck|Jennifer Lee,Adventure|Animation|Family,475,7.0,2015,0.0,0.0
High-Rise,Ben Wheatley,Action|Drama|Science Fiction,161,5.4,2015,0.0,0.0
The Boy Next Door,Rob Cohen,Thriller,810,3.9,2015,3679998.38080071,46150034.4539848
Spooks: The Greater Good,Bharat Nalluri,Thriller|Action,114,5.6,2015,0.0,0.0
Entourage,Doug Ellin,Comedy,364,6.2,2015,27599987.856005296,45322311.73818279
The Wedding Ringer,Jeremy Garelick,Comedy,446,6.5,2015,21159990.689604,73415857.2970227
Scouts Guide to the Zombie Apocalypse,Christopher B. Landon,Comedy|Horror,288,6.2,2015,13799993.9280026,13671898.7043645
The Visit,M. Night Shyamalan,Horror|Thriller,729,5.9,2015,4599997.97600089,90574017.1874324
Black Mass,Scott Cooper,Crime|Drama,848,6.3,2015,48759978.5456094,91793583.3708233
Heist,Scott Mann,Crime|Action|Thriller,233,5.4,2015,8187996.39728158,46125.099704956105
Krampus,Michael Dougherty,Horror|Comedy|Fantasy,342,5.9,2015,13799993.9280026,56624785.5250943
Dark Places,Gilles Paquet-Brenner,Drama|Mystery|Thriller,322,5.7,2015,18399991.9040035,191900.87556361398
No Escape,John Erick Dowdle,Action|Thriller,519,6.7,2015,4599997.97600089,50065340.2112503
Dope,Rick Famuyiwa,Crime|Drama|Comedy,448,7.3,2015,643999.716640124,16547831.2389542
American Ultra,Nima Nourizadeh,Comedy|Action,695,5.9,2015,25759988.665604897,25951426.7813722
Woman in Gold,Simon Curtis,Drama,277,7.3,2015,10119995.5472019,56690166.2163268
The Scorpion King: The Lost Throne,Mike Elliott,Action|Fantasy|Adventure,22,4.5,2015,0.0,0.0
Sisters,Jason Moore,Comedy,399,5.9,2015,27599987.856005296,96610126.25154442
Project Almanac,Dean Israelite,Science Fiction|Thriller,637,6.3,2015,11039995.1424021,29668368.665917706
Absolutely Anything,Terry Jones,Comedy|Science Fiction,199,5.8,2015,0.0,4774472.21923222
The Transporter Refueled,Camille Delamarre,Thriller|Action|Crime,407,5.3,2015,22999989.8800044,66819266.9995225
Crimson Peak,Guillermo del Toro,Mystery|Thriller|Fantasy|Horror|Drama,819,6.4,2015,50599977.7360098,68705406.0096213
Everly,Joe Lynch,Thriller|Action,169,5.1,2015,0.0,0.0
Magic Mike XXL,Gregory Jacobs,Comedy|Drama|Music,501,6.3,2015,13615994.0089626,112619962.887216
Paranormal Activity: The Ghost Dimension,Gregory Plotkin,Horror|Thriller,267,5.0,2015,9199995.95200178,71851557.1453148
Slow West,John Maclean,Romance|Thriller|Western,229,6.6,2015,0.0,210766.38726278895
Trumbo,Jay Roach,Drama,273,7.2,2015,13799993.9280026,7576804.78620589
Secret in Their Eyes,Billy Ray,Crime|Drama|Mystery,202,6.2,2015,17939992.1064034,29614535.8096042
Mistress America,Noah Baumbach,Comedy,132,6.4,2015,0.0,2300395.50782597
The SpongeBob Movie: Sponge Out of Water,Paul Tibbitt,Family|Animation,533,5.7,2015,68079970.0448131,286666383.306791
True Story,Rupert Goold,Crime|Drama|Mystery,354,6.0,2015,0.0,4342117.4894683
Max,Boaz Yakin,Adventure|Drama|Family,214,7.0,2015,18399991.9040035,40449856.802063
Shaun the Sheep Movie,Mark Burton|Richard Starzack,Family|Animation|Comedy|Adventure,340,6.9,2015,0.0,54923975.83345061
Louder Than Bombs,Joachim Trier,Drama,43,6.3,2015,10119995.5472019,0.0
A Perfect Day,Fernando LeÃ³n de Aranoa,Comedy|Drama,102,6.3,2015,0.0,1566237.67085542
The Gunman,Pierre Morel,Action|Drama|Crime,283,5.6,2015,36799983.80800711,9811564.7629115
Unfriended,Levan Gabriadze,Horror|Thriller,643,5.6,2015,919999.595200178,57851497.3453411
Hot Pursuit,Anne Fletcher,Action|Crime|Comedy,472,5.5,2015,32199985.8320062,47545763.9998638
Insidious: Chapter 3,Leigh Whannell,Drama|Horror|Thriller,610,6.3,2015,9199995.95200178,95959500.6978197
Z for Zachariah,Craig Zobel,Drama|Science Fiction|Thriller,181,5.5,2015,0.0,109004.312038102
Dragonheart 3: The Sorcerer's Curse,Colin Teague,Action|Adventure|Fantasy,59,4.5,2015,0.0,0.0
The Lady in the Van,Nicholas Hytner,Comedy|Drama,135,5.9,2015,5519997.57120106,38076655.2862716
Victor Frankenstein,Paul McGuigan,Drama|Science Fiction|Thriller,408,5.5,2015,36799983.80800711,31489100.3047958
Brothers of the Wind,Gerado Olivares|Otmar Penker,Adventure|Drama|Family,11,7.5,2015,0.0,0.0
Anomalisa,Duke Johnson|Charlie Kaufman,Animation|Comedy|Drama|Romance,259,6.7,2015,7359996.76160142,3458541.59824169
Bone Tomahawk,S. Craig Zahler,Horror|Western|Adventure|Drama,220,6.3,2015,1655999.27136032,0.0
Regression,Alejandro AmenÃ¡bar,Horror|Mystery|Thriller,310,5.2,2015,0.0,16257405.7667414
Pawn Sacrifice,Edward Zwick,Drama,148,6.6,2015,0.0,0.0
The Man Who Knew Infinity,Matt Brown,Drama,104,7.1,2015,0.0,10554653.0359526
Momentum,Stephen S. Campanelli,Thriller|Action,100,5.8,2015,18399991.9040035,0.0
The Diary of a Teenage Girl,Marielle Heller,Drama|Romance,186,6.8,2015,1839999.19040035,1358841.24210985
Pay the Ghost,Uli Edel,Horror|Thriller,114,5.3,2015,0.0,0.0
The Voices,Marjane Satrapi,Horror|Thriller|Comedy|Crime,371,6.0,2015,0.0,0.0
Last Knights,Kazuaki Kiriya,Action|Adventure,237,6.3,2015,0.0,3352102.24507501
Il racconto dei racconti,Matteo Garrone,Romance|Fantasy|Horror,211,5.7,2015,11039995.1424021,0.0
Irrational Man,Woody Allen,Mystery|Drama,319,6.1,2015,10119995.5472019,25199786.192094
Queen of the Desert,Werner Herzog,Drama|History,30,6.0,2015,13799993.9280026,0.0
Ricki and the Flash,Jonathan Demme,Comedy|Drama|Music,152,5.5,2015,16559992.7136032,38019285.0315145
Miss You Already,Catherine Hardwicke,Comedy|Drama|Romance,139,7.2,2015,0.0,0.0
Kung Fury,David Sandberg,Action|Comedy|Science Fiction|Fantasy,487,7.7,2015,579617.224968421,0.0
The Perfect Guy,David M. Rosenthal,Drama|Thriller,122,5.6,2015,11039995.1424021,55451294.7614303
A Bigger Splash,Luca Guadagnino,Crime|Drama|Mystery|Thriller,69,5.8,2015,0.0,1781601.29609542
While We're Young,Noah Baumbach,Drama|Comedy,265,5.9,2015,9199995.95200178,6980483.12858742
Get Hard,Etan Cohen,Comedy,661,5.9,2015,36799983.80800711,97990493.6441828
Kidnapping Mr. Heineken,Daniel Alfredson,Drama|Action|Crime|Thriller,131,5.8,2015,0.0,0.0
The Ridiculous 6,Frank Coraci,Comedy|Western,252,4.8,2015,55199975.71201059,0.0
Kill Me Three Times,Kriv Stenders,Comedy|Thriller,96,5.1,2015,0.0,0.0
The 33,Patricia Riggen,History|Drama,262,5.8,2015,22999989.8800044,22910495.079382107
Suffragette,Sarah Gavron,Drama|History,231,7.1,2015,12879994.3328024,14722219.9222232
45 Years,Andrew Haigh,Drama,167,6.0,2015,0.0,0.0
We Are Your Friends,Max Joseph,Drama|Music|Romance,412,6.2,2015,5519997.57120106,10232318.2977799
Barely Lethal,Kyle Newman,Adventure|Action|Comedy,215,5.5,2015,0.0,5588.997540841079
Macbeth,Justin Kurzel,History|Drama|War,269,6.4,2015,0.0,12137055.0996957
Extraction,Steven C. Miller,Action|Thriller,57,4.2,2015,0.0,15432.9932094829
Jenny's Wedding,Mary Agnes Donoghue,Comedy|Drama,92,5.2,2015,0.0,0.0
Descendants,Kenny Ortega,Music|Action|Adventure|Comedy|Family,262,6.7,2015,0.0,0.0
Tumbledown,Sean Mewshaw,Music|Romance|Comedy,22,6.6,2015,0.0,0.0
Far from the Madding Crowd,Thomas Vinterberg,Romance|Drama,220,6.9,2015,0.0,27811566.6029106
The End of the Tour,James Ponsoldt,Drama,126,7.3,2015,0.0,2762652.06443309
The Second Best Exotic Marigold Hotel,John Madden,Drama|Comedy,196,6.4,2015,9199995.95200178,79099969.91601321
Little Boy,Alejandro Monteverde,Comedy|Drama|War,113,7.1,2015,18399991.9040035,5906690.88105601
LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,Brandon Vietti,Action|Adventure|Animation|Family,14,6.4,2015,0.0,0.0
Remember,Atom Egoyan,Drama|Thriller,75,7.7,2015,0.0,1827684.9958186
Aloha,Cameron Crowe,Adventure|Comedy|Romance,469,5.2,2015,34039985.0224065,24150007.7739965
Accidental Love,David O. Russell|Stephen Greene,Romance|Comedy,64,3.6,2015,23919989.4752046,0.0
Halo: The Fall of Reach,Ian Kirby,Action|Animation|Science Fiction,32,5.3,2015,0.0,0.0
Our Brand Is Crisis,David Gordon Green,Drama|Comedy,122,5.7,2015,25759988.665604897,6442077.28548599
Into the Forest,Patricia Rozema,Drama|Science Fiction,57,5.1,2015,0.0,0.0
The Invitation,Karyn Kusama,Thriller,192,6.4,2015,0.0,213197.946192903
The Benefactor,Andrew Renzi,Drama,55,4.5,2015,0.0,0.0
Open Season: Scared Silly,David Feiss,Animation|Comedy|Family|Adventure,33,5.6,2015,0.0,0.0
Cop Car,Jon Watts,Thriller,174,5.5,2015,0.0,123787.785533374
Mojave,William Monahan,Thriller,17,4.3,2015,0.0,0.0
Sleeping with Other People,Leslye Headland,Comedy,197,6.2,2015,0.0,2956985.41892641
Forsaken,Jon Cassar,Western|Drama,53,5.6,2015,10119995.5472019,0.0
Amy,Asif Kapadia,Documentary|Music,345,7.5,2015,0.0,7740089.0743608
Madame Bovary,Sophie Barthes,Drama,52,5.3,2015,0.0,0.0
The Hallow,Corin Hardy,Fantasy|Horror,122,4.9,2015,0.0,0.0
Barbie in Princess Power,Zeke Norton,Family|Animation,13,5.5,2015,0.0,0.0
Howl,Paul Hyett,Horror,62,4.9,2015,0.0,0.0
Freeheld,Peter Sollett,Romance|Drama,86,7.1,2015,6439997.16640124,527467.967914094
Man Up,Ben Palmer,Romance|Comedy,264,6.5,2015,0.0,0.0
Love,Gaspar NoÃ©,Drama|Romance,307,4.7,2015,2759998.78560053,639647.198555232
Truth,James Vanderbilt,Drama,89,6.4,2015,8831996.11392171,2338228.65117939
Return to Sender,Fouad Mikati,Thriller,88,5.0,2015,0.0,0.0
Danny Collins,Dan Fogelman,Comedy|Drama|Music,114,6.6,2015,9199995.95200178,9968887.45368952
Rock the Kasbah,Barry Levinson,Comedy|Music|War,56,5.1,2015,13799993.9280026,2779009.65723575
Fathers and Daughters,Gabriele Muccino,Drama,142,7.0,2015,2060799.09324839,0.0
"Hello, My Name Is Doris",Michael Showalter,Comedy|Drama|Romance,87,6.6,2015,919999.595200178,13289393.2326669
The Vatican Tapes,Mark Neveldine,Thriller|Horror,164,4.5,2015,11959994.7376023,1641981.23752825
99 Homes,Ramin Bahrani,Drama,121,6.8,2015,7359996.76160142,1298972.2684522
Hot Tub Time Machine 2,Steve Pink,Comedy,244,5.0,2015,12879994.3328024,11329473.9350314
Knight of Cups,Terrence Malick,Romance|Drama,101,5.7,2015,0.0,0.0
Manglehorn,David Gordon Green,Drama,35,5.0,2015,3679998.38080071,131652.86207274
Mississippi Grind,Ryan Fleck|Anna Boden,Drama,74,5.7,2015,0.0,0.0
400 Days,Matt Osterman,Mystery|Science Fiction|Thriller,98,4.2,2015,0.0,0.0
Lava,James Ford Murphy,Animation|Comedy|Family|Fantasy|Music,298,7.3,2015,0.0,0.0
Air,Christian Cantamessa,Thriller|Science Fiction,135,4.7,2015,0.0,0.0
Riot,John Lyde,Action,11,5.0,2015,0.0,0.0
Septembers of Shiraz,Wayne Blair,Drama|Thriller,14,5.9,2015,0.0,0.0
Every Thing Will Be Fine,Wim Wenders,Drama,44,5.1,2015,0.0,7391.27674783823
Extinction,Miguel Ãngel Vivas,Drama|Horror|Science Fiction,135,5.3,2015,0.0,0.0
The Childhood of a Leader,Brady Corbet,Mystery|Drama|Horror,25,3.6,2015,0.0,0.0
A Walk in the Woods,Ken Kwapis,Drama|Adventure|Comedy,171,5.4,2015,7359996.76160142,33111785.4708143
Clown,Jon Watts,Horror,182,5.2,2015,0.0,0.0
The Lazarus Effect,David Gelb,Thriller|Horror,327,4.9,2015,3035998.66416058,58981843.80798871
Batman vs. Robin,Jay Oliva,Action|Adventure|Animation,142,6.8,2015,0.0,0.0
Careful What You Wish For,Elizabeth Allen Rosenbaum,Thriller,57,5.4,2015,7359996.76160142,0.0
Racing Extinction,Louie Psihoyos,Adventure|Documentary,36,7.8,2015,0.0,0.0
Unfinished Business,Ken Scott,Comedy,241,4.9,2015,32199985.8320062,13276746.9182313
Lost River,Ryan Gosling,Fantasy|Thriller,129,5.7,2015,1839999.19040035,41796.5016095392
Cobain: Montage of Heck,Brett Morgen,Music|Documentary,197,7.5,2015,0.0,0.0
Hyena Road,Paul Gross,War|Drama,29,5.7,2015,0.0,0.0
Criminal Activities,Jackie Earle Haley,Thriller|Crime|Drama,67,5.9,2015,6439997.16640124,0.0
Life,Anton Corbijn,Drama,75,5.9,2015,11039995.1424021,0.0
"McFarland, USA",Niki Caro,Drama,139,7.4,2015,0.0,42053235.77657621
Backtrack,Michael Petroni,Horror|Mystery,52,5.4,2015,0.0,0.0
X+Y,Morgan Matthews,Drama,133,6.0,2015,0.0,0.0
Home Sweet Hell,Anthony Burns,Drama|Comedy,136,4.9,2015,2759998.78560053,0.0
Ooops! Noah is Gone...,Toby Genkel|Sean McCormack,Animation|Adventure|Comedy,50,5.7,2015,5519997.57120106,0.0
The Unspoken,Sheldon Wilson,Thriller|Horror,10,4.1,2015,0.0,0.0
Hot Girls Wanted,Jill Bauer|Ronna Gradus,Documentary,158,5.9,2015,0.0,0.0
The Gallows,Travis Cluff|Chris Lofing,Horror|Thriller,247,5.0,2015,91999.95952001779,39251239.9294544
Dirty Weekend,Neil LaBute,Drama|Comedy,12,4.8,2015,0.0,0.0
I Spit on Your Grave III: Vengeance is Mine,R.D. Braunstein,Horror|Thriller,100,5.0,2015,0.0,0.0
Experimenter,Michael Almereyda,History|Drama,94,6.9,2015,0.0,0.0
By the Sea,Angelina Jolie,Drama|Romance,82,5.4,2015,9199995.95200178,3068131.49002214
Woodlawn,Andrew Erwin|Jon Erwin,Drama,32,6.8,2015,0.0,0.0
The Hollow,Sheldon Wilson,Horror|TV Movie,19,5.1,2015,0.0,0.0
Visions,Kevin Greutert,Thriller|Horror,67,5.5,2015,0.0,0.0
Beyond the Mask,Chad Burns,Action,13,6.2,2015,0.0,1137205.97962936
I Am Here,Anders Morgenthaler,Drama|Thriller,18,4.0,2015,0.0,0.0
Wild Horses,Robert Duvall,Crime|Drama,16,4.1,2015,0.0,0.0
Pressure,Ron Scalpello,Drama|Thriller,29,5.0,2015,0.0,0.0
Hidden,Ross Duffer|Matt Duffer,Thriller|Horror,96,6.5,2015,0.0,0.0
Hell & Back,Tom Gianas|Ross Shuman,Fantasy|Comedy|Animation,47,4.3,2015,0.0,145146.496135541
Robot Overlords,Jon Wright,Adventure|Science Fiction|Action,63,4.9,2015,19319991.4992037,0.0
The Man with the Iron Fists 2,Roel ReinÃ©,Action,43,4.7,2015,0.0,0.0
LEGO DC Comics Super Heroes: Justice League: Attack of the Legion of Doom!,Rick Morales,Action|Adventure|Animation|Family,17,6.8,2015,0.0,0.0
Crown for Christmas,Alex Zamm,TV Movie,10,7.6,2015,0.0,0.0
Spare Parts,Sean McNamara,Action|Drama|Family,38,6.6,2015,0.0,0.0
The World Made Straight,David Burris,Drama,13,5.8,2015,0.0,0.0
Last Shift,Anthony DiBlasi,Horror|Thriller,77,5.6,2015,0.0,0.0
Frankenstein,Bernard Rose,Horror|Thriller,14,4.5,2015,0.0,0.0
Cartel Land,Matthew Heineman,Drama|Documentary,112,7.5,2015,0.0,0.0
Superfast!,Jason Friedberg|Aaron Seltzer,Comedy,60,4.4,2015,18399991.9040035,0.0
Moonwalkers,Antoine Bardou-Jacquet,Comedy,53,6.0,2015,0.0,0.0
Chi-Raq,Spike Lee,Music|Drama|Crime|Comedy,33,5.9,2015,0.0,0.0
Bad Asses on the Bayou,Craig Moss,Comedy|Action,24,5.8,2015,4875997.85456094,0.0
Strange Magic,Gary Rydstrom,Music|Animation|Family|Fantasy,68,6.1,2015,0.0,12515171.2533246
Black or White,Mike Binder,Drama,72,6.7,2015,8279996.356801598,19845485.147986494
Dead Rising,Zach Lipovsky,Horror|Science Fiction,82,4.9,2015,0.0,0.0
Deathgasm,Jason Lei Howden,Comedy|Horror,83,6.5,2015,0.0,0.0
Justice League: Gods and Monsters,Sam Liu,Action|Animation|Fantasy,99,6.9,2015,0.0,0.0
I Saw the Light,Marc Abraham,Drama|Music,19,5.6,2015,11959994.7376023,1515044.29338051
Good Kill,Andrew Niccol,Action|Drama|Thriller,132,5.7,2015,0.0,291154.11189219
